model,feature,n_queries,mean_tau,std_tau,se,t,p_value,p_corrected,significant
E5,lexical_density,30,0.0224,0.0431,0.0079,2.8449,0.0081,0.0086,True
E5,flesch_kincaid_grade,30,-0.0021,0.0654,0.0119,-0.1734,0.8635,0.8635,False
E5,sentiment_polarity,0,,,,,,,False
ColBERT,gunning_fog_index,30,-0.0607,0.047,0.0086,-7.0712,0.0,0.0,True
ColBERT,lexical_density,30,0.0433,0.0453,0.0083,5.235,0.0,0.0001,True
ColBERT,keyword_density,30,0.0328,0.0861,0.0157,2.0847,0.046,0.1887,False
ColBERT,most_frequent_entity_count,30,0.0451,0.1209,0.0221,2.0421,0.0503,0.1887,False
ColBERT,avg_words_per_sentence,30,-0.0181,0.0638,0.0116,-1.5578,0.1301,0.3904,False
ColBERT,flesch_kincaid_grade,30,-0.0182,0.075,0.0137,-1.3285,0.1944,0.486,False
ColBERT,lexical_diversity,30,-0.0239,0.1385,0.0253,-0.9435,0.3532,0.7569,False
ColBERT,named_entity_count,30,0.0146,0.1224,0.0224,0.6509,0.5203,0.8766,False
ColBERT,char_count_no_spaces,30,-0.011,0.1268,0.0232,-0.4751,0.6383,0.8766,False
ColBERT,word_count,30,-0.0112,0.1297,0.0237,-0.4738,0.6392,0.8766,False
ColBERT,char_count,30,-0.0109,0.1272,0.0232,-0.4686,0.6428,0.8766,False
ColBERT,token_count,30,-0.0066,0.1324,0.0242,-0.2729,0.7869,0.9012,False
ColBERT,distinct_entity_types,30,-0.005,0.1053,0.0192,-0.2581,0.7981,0.9012,False
ColBERT,avg_syllables_per_word,30,-0.0048,0.1377,0.0251,-0.1901,0.8505,0.9012,False
ColBERT,sentence_count,30,-0.0031,0.1335,0.0244,-0.1253,0.9012,0.9012,False
ColBERT,sentiment_polarity,0,,,,,,,False
Cross-Encoder,lexical_density,30,0.1198,0.0213,0.0039,30.8198,0.0,0.0,True
Cross-Encoder,gunning_fog_index,30,-0.1322,0.0353,0.0064,-20.5195,0.0,0.0,True
Cross-Encoder,avg_words_per_sentence,30,-0.1805,0.0789,0.0144,-12.5392,0.0,0.0,True
Cross-Encoder,keyword_density,30,0.2706,0.1265,0.0231,11.7186,0.0,0.0,True
Cross-Encoder,distinct_entity_types,30,-0.275,0.149,0.0272,-10.1091,0.0,0.0,True
Cross-Encoder,char_count_no_spaces,30,-0.2836,0.1657,0.0302,-9.3773,0.0,0.0,True
Cross-Encoder,char_count,30,-0.2834,0.1659,0.0303,-9.3592,0.0,0.0,True
Cross-Encoder,word_count,30,-0.2835,0.1673,0.0305,-9.2801,0.0,0.0,True
Cross-Encoder,token_count,30,-0.2763,0.168,0.0307,-9.0093,0.0,0.0,True
Cross-Encoder,sentence_count,30,-0.2651,0.167,0.0305,-8.6926,0.0,0.0,True
Cross-Encoder,named_entity_count,30,-0.2487,0.1604,0.0293,-8.4914,0.0,0.0,True
Cross-Encoder,lexical_diversity,30,0.2155,0.1613,0.0295,7.3158,0.0,0.0,True
Cross-Encoder,most_frequent_entity_count,30,-0.1748,0.1533,0.028,-6.2458,0.0,0.0,True
Cross-Encoder,avg_syllables_per_word,30,0.1352,0.1267,0.0231,5.8437,0.0,0.0,True
Cross-Encoder,flesch_kincaid_grade,30,-0.0154,0.0556,0.0101,-1.5162,0.1403,0.1403,False
Cross-Encoder,sentiment_polarity,0,,,,,,,False
